id,show_id,title,content
6a853aa13a,s1,狄克·約翰遜之死,隨著她父親接近生命的終點，製片人 Kirsten Johnson 以獨特和滑稽的方式設計他的死亡，幫助他們兩人面對必然的結局。
70367676a4,s2,血與水,在一次派對上相遇之後，開普敦的一位少年展開行動，試圖證明一位私立學校游泳明星是否是她在出生時被綁架的妹妹。
46c9037c02,s3,黑幫世界,為了保護家人不受強大的毒販的威脅，技術嫻熟的小偷梅迪和他的專業搶劫團隊被捲入一場暴力又致命的勢力爭奪戰中。
658f08cc2b,s4,監獄之鳥：新奧爾良,《新奧爾良監獄：女囚實錄》故事發生在新奧爾良的奧爾良司法中心，描述女囚之間的爭端、調情和閒聊，以及監獄裡的生活點滴。
6a4f45325d,s5,《柯塔工廠》,在一個以培訓印度最優秀大學生聞名的補習中心城市裡，一名認真但普通的學生和他的朋友們努力適應校園生活。
15944f1f99,s6,午夜彌撒,一位充滿魅力的年輕牧師的到來，帶來了榮耀的奇蹟，不祥的神秘和重燃的宗教熱情，讓一個垂死的城鎮急切地渴望相信。
4f4850d514,s7,小馬寶莉：新世代,艾奎斯特麗亞四分五裂。但一位眼睛炯炯有神的英雄相信地精、飛翼馬和獨角獸應該成為朋友，而且她下定決心要證明這一點。
7f64979840,s8,回到起點,在加納的一次攝影活動中，一位美國模特兒穿越回過去，成為一個種植園上的奴隸，並目睹了她祖先的痛苦。
355fe5f42a,s9,美好的英國烘焙秀,一群有才華的業餘烘焙師將在為期10週的比賽中展開競爭，期望能夠製作出最好的料理，並獲得被譽為英國最優秀的烘焙師。
52e3756fcd,s10,星雀情緣,一位在失去後適應生活的女性，必須應付她花園裡佔據一切的倔強鳥兒，以及一個努力尋找前進方式的丈夫。
ba2d11b621,s11,仇恨：真相、謊言與黑手黨,「西西里島以其勇敢的『反黑手黨』聯盟而自豪。但當試圖打倒有組織犯罪的人被指控犯下犯罪時，會發生什麼事呢？」
22382d80ff,s12,曼谷危情,在曼谷掙扎謀生的一名男子加入了緊急救援服務，意識到他必須揭開整個城市的陰謀。
e594559798,s13,我是卡爾,在一起大部分的家人在一次恐怖攻擊中被殺害後，一名年輕女子無意間被誘使加入了殺害他們的團體。
46716c0762,s14,一個隱形女孩的告白,當聰明但社交不擅的泰泰加入新學校時，她會不惜一切去融入。但是她的班上的女王蜂卻有其他打算。
334cad37c0,s15,印度偵探：犯罪故事,攝影機跟隨班加羅爾警方工作，提供了一個罕見的視角，讓人們深入了解四個重大犯罪調查的複雜和具有挑戰性的內部運作。
223e5fb630,s16,親愛的白人們,"有色學生在一所常被認為並非""後種族主義""的常春藤盟校中，穿梭於日常的輕蔑和政治勾心鬥角之中。"
5b7dd93055,s17,歐洲最危險的人：奧托·斯科爾森在西班牙,解密文件揭露了二戰後奧托·斯科爾岑尼的生活，他是一位希特勒親信，逃至西班牙並成為世界總統的顧問。
